script_fname,config_fname,log_fname,timeout
/cw/dtaijupiter/NoCsBack/dtai/elia/aaai20/cli/fit/fit_mercs.py,/cw/dtaijupiter/NoCsBack/dtai/elia/aaai20/out/fit_mercs/md4-base-fit/config/0009-cwebkb.json,/cw/dtaijupiter/NoCsBack/dtai/elia/aaai20/out/fit_mercs/md4-base-fit/logs/0009-cwebkb,3600
/cw/dtaijupiter/NoCsBack/dtai/elia/aaai20/cli/fit/fit_mercs.py,/cw/dtaijupiter/NoCsBack/dtai/elia/aaai20/out/fit_mercs/md4-base-fit/config/0015-tretail.json,/cw/dtaijupiter/NoCsBack/dtai/elia/aaai20/out/fit_mercs/md4-base-fit/logs/0015-tretail,3600
/cw/dtaijupiter/NoCsBack/dtai/elia/aaai20/cli/fit/fit_mercs.py,/cw/dtaijupiter/NoCsBack/dtai/elia/aaai20/out/fit_mercs/md4-base-fit/config/0010-dna.json,/cw/dtaijupiter/NoCsBack/dtai/elia/aaai20/out/fit_mercs/md4-base-fit/logs/0010-dna,3600
/cw/dtaijupiter/NoCsBack/dtai/elia/aaai20/cli/fit/fit_mercs.py,/cw/dtaijupiter/NoCsBack/dtai/elia/aaai20/out/fit_mercs/md4-base-fit/config/0013-jester.json,/cw/dtaijupiter/NoCsBack/dtai/elia/aaai20/out/fit_mercs/md4-base-fit/logs/0013-jester,3600
/cw/dtaijupiter/NoCsBack/dtai/elia/aaai20/cli/fit/fit_mercs.py,/cw/dtaijupiter/NoCsBack/dtai/elia/aaai20/out/fit_mercs/md4-base-fit/config/0004-kosarek.json,/cw/dtaijupiter/NoCsBack/dtai/elia/aaai20/out/fit_mercs/md4-base-fit/logs/0004-kosarek,3600
/cw/dtaijupiter/NoCsBack/dtai/elia/aaai20/cli/fit/fit_mercs.py,/cw/dtaijupiter/NoCsBack/dtai/elia/aaai20/out/fit_mercs/md4-base-fit/config/0001-c20ng.json,/cw/dtaijupiter/NoCsBack/dtai/elia/aaai20/out/fit_mercs/md4-base-fit/logs/0001-c20ng,3600
/cw/dtaijupiter/NoCsBack/dtai/elia/aaai20/cli/fit/fit_mercs.py,/cw/dtaijupiter/NoCsBack/dtai/elia/aaai20/out/fit_mercs/md4-base-fit/config/0002-plants.json,/cw/dtaijupiter/NoCsBack/dtai/elia/aaai20/out/fit_mercs/md4-base-fit/logs/0002-plants,3600
/cw/dtaijupiter/NoCsBack/dtai/elia/aaai20/cli/fit/fit_mercs.py,/cw/dtaijupiter/NoCsBack/dtai/elia/aaai20/out/fit_mercs/md4-base-fit/config/0016-kdd.json,/cw/dtaijupiter/NoCsBack/dtai/elia/aaai20/out/fit_mercs/md4-base-fit/logs/0016-kdd,3600
/cw/dtaijupiter/NoCsBack/dtai/elia/aaai20/cli/fit/fit_mercs.py,/cw/dtaijupiter/NoCsBack/dtai/elia/aaai20/out/fit_mercs/md4-base-fit/config/0006-tmovie.json,/cw/dtaijupiter/NoCsBack/dtai/elia/aaai20/out/fit_mercs/md4-base-fit/logs/0006-tmovie,3600
/cw/dtaijupiter/NoCsBack/dtai/elia/aaai20/cli/fit/fit_mercs.py,/cw/dtaijupiter/NoCsBack/dtai/elia/aaai20/out/fit_mercs/md4-base-fit/config/0007-voting.json,/cw/dtaijupiter/NoCsBack/dtai/elia/aaai20/out/fit_mercs/md4-base-fit/logs/0007-voting,3600
/cw/dtaijupiter/NoCsBack/dtai/elia/aaai20/cli/fit/fit_mercs.py,/cw/dtaijupiter/NoCsBack/dtai/elia/aaai20/out/fit_mercs/md4-base-fit/config/0012-pumsb_star.json,/cw/dtaijupiter/NoCsBack/dtai/elia/aaai20/out/fit_mercs/md4-base-fit/logs/0012-pumsb_star,3600
/cw/dtaijupiter/NoCsBack/dtai/elia/aaai20/cli/fit/fit_mercs.py,/cw/dtaijupiter/NoCsBack/dtai/elia/aaai20/out/fit_mercs/md4-base-fit/config/0018-accidents.json,/cw/dtaijupiter/NoCsBack/dtai/elia/aaai20/out/fit_mercs/md4-base-fit/logs/0018-accidents,3600
/cw/dtaijupiter/NoCsBack/dtai/elia/aaai20/cli/fit/fit_mercs.py,/cw/dtaijupiter/NoCsBack/dtai/elia/aaai20/out/fit_mercs/md4-base-fit/config/0011-book.json,/cw/dtaijupiter/NoCsBack/dtai/elia/aaai20/out/fit_mercs/md4-base-fit/logs/0011-book,3600
/cw/dtaijupiter/NoCsBack/dtai/elia/aaai20/cli/fit/fit_mercs.py,/cw/dtaijupiter/NoCsBack/dtai/elia/aaai20/out/fit_mercs/md4-base-fit/config/0005-msnbc.json,/cw/dtaijupiter/NoCsBack/dtai/elia/aaai20/out/fit_mercs/md4-base-fit/logs/0005-msnbc,3600
/cw/dtaijupiter/NoCsBack/dtai/elia/aaai20/cli/fit/fit_mercs.py,/cw/dtaijupiter/NoCsBack/dtai/elia/aaai20/out/fit_mercs/md4-base-fit/config/0008-cr52.json,/cw/dtaijupiter/NoCsBack/dtai/elia/aaai20/out/fit_mercs/md4-base-fit/logs/0008-cr52,3600
/cw/dtaijupiter/NoCsBack/dtai/elia/aaai20/cli/fit/fit_mercs.py,/cw/dtaijupiter/NoCsBack/dtai/elia/aaai20/out/fit_mercs/md4-base-fit/config/0020-bbc.json,/cw/dtaijupiter/NoCsBack/dtai/elia/aaai20/out/fit_mercs/md4-base-fit/logs/0020-bbc,3600
/cw/dtaijupiter/NoCsBack/dtai/elia/aaai20/cli/fit/fit_mercs.py,/cw/dtaijupiter/NoCsBack/dtai/elia/aaai20/out/fit_mercs/md4-base-fit/config/0003-ad.json,/cw/dtaijupiter/NoCsBack/dtai/elia/aaai20/out/fit_mercs/md4-base-fit/logs/0003-ad,3600
/cw/dtaijupiter/NoCsBack/dtai/elia/aaai20/cli/fit/fit_mercs.py,/cw/dtaijupiter/NoCsBack/dtai/elia/aaai20/out/fit_mercs/md4-base-fit/config/0017-msweb.json,/cw/dtaijupiter/NoCsBack/dtai/elia/aaai20/out/fit_mercs/md4-base-fit/logs/0017-msweb,3600
/cw/dtaijupiter/NoCsBack/dtai/elia/aaai20/cli/fit/fit_mercs.py,/cw/dtaijupiter/NoCsBack/dtai/elia/aaai20/out/fit_mercs/md4-base-fit/config/0019-baudio.json,/cw/dtaijupiter/NoCsBack/dtai/elia/aaai20/out/fit_mercs/md4-base-fit/logs/0019-baudio,3600
/cw/dtaijupiter/NoCsBack/dtai/elia/aaai20/cli/fit/fit_mercs.py,/cw/dtaijupiter/NoCsBack/dtai/elia/aaai20/out/fit_mercs/md4-base-fit/config/0014-nltcs.json,/cw/dtaijupiter/NoCsBack/dtai/elia/aaai20/out/fit_mercs/md4-base-fit/logs/0014-nltcs,3600
/cw/dtaijupiter/NoCsBack/dtai/elia/aaai20/cli/fit/fit_mercs.py,/cw/dtaijupiter/NoCsBack/dtai/elia/aaai20/out/fit_mercs/md4-base-fit/config/0000-bnetflix.json,/cw/dtaijupiter/NoCsBack/dtai/elia/aaai20/out/fit_mercs/md4-base-fit/logs/0000-bnetflix,3600
